T(s),S1-1B-D,S1-1B-S,S1-2B-D,S1-2B-S,S1-3B-D,S1-3B-S,S1-4B-D,S1-4B-S,S1-5B-D,S1-5B-S,S1-6B-D,S1-6B-S,S1-7B-D,S1-7B-S,S1-8B-D,S1-8B-S
34,294.7118148,294.7200628,294.6572247,294.8780759,294.7343491,294.4982268,294.9060388,294.5197768,294.9377333,294.8700617,295.0391567,295.3949236,294.8078879,294.8006466,294.6693264,294.3528135
35,294.7511482,294.7603016,294.6983932,294.9208431,294.7767654,294.5349556,294.9520704,294.5563199,294.9831058,294.9148353,295.0860054,295.4489568,294.8514796,294.8442591,294.7100405,294.386498
36,294.7901627,294.800259,294.7393748,294.9632074,294.8189393,294.5715138,294.9977811,294.5926611,295.028101,294.9592802,295.132392,295.5023494,294.8947768,294.8875862,294.7505256,294.4200799
37,294.8288583,294.839935,294.7801696,295.0051688,294.8608709,294.6079014,295.043171,294.6288003,295.0727189,295.0033964,295.1783168,295.5551014,294.9377794,294.9306277,294.7907819,294.4535592
38,294.867235,294.8793296,294.8207775,295.0467273,294.90256,294.6441185,295.08824,294.6647375,295.1169594,295.0471839,295.2237795,295.6072127,294.9804875,294.9733837,294.8308092,294.4869361
39,294.9052928,294.9184429,294.8611985,295.087883,294.9440068,294.6801651,295.1329882,294.7004728,295.1608227,295.0906427,295.2687803,295.6586833,295.022901,295.0158543,294.8706077,294.5202104
40,294.9430317,294.9572748,294.9014327,295.1286357,294.9852113,294.7160411,295.1774154,294.7360061,295.2043086,295.1337729,295.3133191,295.7095132,295.0650201,295.0580393,294.9101772,294.5533822
41,294.9804516,294.9958253,294.94148,295.1689855,295.0261733,294.7517466,295.2215219,294.7713375,295.2474172,295.1765743,295.357396,295.7597025,295.1068446,295.0999389,294.9495179,294.5864514
42,295.0175527,295.0340945,294.9813405,295.2089325,295.066893,294.7872815,295.2653074,294.8064669,295.2901484,295.219047,295.4010108,295.8092512,295.1483745,295.141553,294.9886296,294.6194181
43,295.0543348,295.0720823,295.0210142,295.2484765,295.1073703,294.8226458,295.3087721,294.8413944,295.3325023,295.261191,295.4441638,295.8581591,295.18961,295.1828816,295.0275124,294.6522823
44,295.0907981,295.1097888,295.0605009,295.2876177,295.1476053,294.8578396,295.3519159,294.8761199,295.374479,295.3030064,295.4868547,295.9064264,295.2305509,295.2239247,295.0661664,294.685044
45,295.1269424,295.1472138,295.0998009,295.3263559,295.1875978,294.8928628,295.3947389,294.9106434,295.4160782,295.344493,295.5290837,295.9540531,295.2711972,295.2646823,295.1045914,294.7177031
46,295.1627678,295.1843575,295.1389139,295.3646913,295.227348,294.9277155,295.4372409,294.944965,295.4573002,295.385651,295.5708507,296.0010391,295.3115491,295.3051544,295.1427875,294.7502597
47,295.1982744,295.2212199,295.1778402,295.4026238,295.2668559,294.9623977,295.4794222,294.9790846,295.4981448,295.4264802,295.6121557,296.0473844,295.3516064,295.3453411,295.1807547,294.7827137
48,295.233462,295.2578009,295.2165795,295.4401533,295.3061213,294.9969093,295.5212825,295.0130023,295.5386121,295.4669808,295.6529988,296.0930891,295.3913691,295.3852422,295.2184931,294.8150653
49,295.2683307,295.2941005,295.255132,295.47728,295.3451444,295.0312503,295.562822,295.046718,295.5787021,295.5071526,295.6933799,296.1381531,295.4308374,295.4248579,295.2560025,294.8473143
50,295.3028805,295.3301187,295.2934977,295.5140038,295.3839251,295.0654208,295.6040407,295.0802318,295.6184147,295.5469958,295.733299,296.1825764,295.4700111,295.4641881,295.293283,294.8794607
51,295.3371114,295.3658556,295.3316765,295.5503247,295.4224634,295.0994207,295.6449384,295.1135436,295.6577501,295.5865102,295.7727562,296.2263591,295.5088903,295.5032327,295.3303346,294.9115047
52,295.3710233,295.4013111,295.3696684,295.5862427,295.4607594,295.1332501,295.6855153,295.1466534,295.6967081,295.625696,295.8117514,296.2695011,295.5474749,295.5419919,295.3671573,294.9434461
53,295.4046164,295.4364852,295.4074735,295.6217578,295.498813,295.1669089,295.7257714,295.1795613,295.7352887,295.6645531,295.8502846,296.3120025,295.585765,295.5804656,295.4037511,294.975285
54,295.4378906,295.471378,295.4450918,295.6568701,295.5366242,295.2003972,295.7657065,295.2122672,295.7734921,295.7030815,295.8883559,296.3538631,295.6237606,295.6186539,295.440116,295.0070213
55,295.4708458,295.5059894,295.4825232,295.6915794,295.574193,295.2337149,295.8053208,295.2447712,295.8113181,295.7412811,295.9259652,296.3950832,295.6614616,295.6565566,295.476252,295.0386551
56,295.5034822,295.5403194,295.5197677,295.7258858,295.6115195,295.2668621,295.8446143,295.2770732,295.8487668,295.7791521,295.9631125,296.4356625,295.6988681,295.6941738,295.512159,295.0701864
57,295.5357997,295.5743681,295.5568254,295.7597894,295.6486036,295.2998387,295.8835869,295.3091733,295.8858382,295.8166944,295.9997979,296.4756013,295.7359801,295.7315056,295.5478372,295.1016152
58,295.5686897,295.6088187,295.5938076,295.7944016,295.6857676,295.3328548,295.9227405,295.3414588,295.9233901,295.8545081,296.0371827,296.5165541,295.7732946,295.7689994,295.5836107,295.1329762
59,295.6027048,295.6440947,295.6307835,295.8304116,295.7232113,295.3660405,295.9623863,295.37417,295.9619544,295.8929651,296.0759869,296.559547,295.8111199,295.8069329,295.6196805,295.1642912
60,295.6365537,295.6792063,295.6675915,295.8662091,295.7604678,295.3990916,296.0017971,295.4067456,296.0002883,295.9311962,296.1145279,296.6021825,295.8487357,295.8446575,295.655577,295.1955096
61,295.6702363,295.7141535,295.7042319,295.9017941,295.7975371,295.4320081,296.040973,295.4391856,296.0383917,295.9692013,296.1528059,296.6444608,295.8861421,295.8821733,295.6913,295.2266315
62,295.7037526,295.7489364,295.7407044,295.9371664,295.8344192,295.4647901,296.079914,295.47149,296.0762647,296.0069805,296.1908208,296.6863817,295.9233391,295.9194803,295.7268497,295.2576568
