T(s),S1-1F-D,S1-1F-S,S1-2F-D,S1-2F-S,S1-3F-D,S1-3F-S,S1-4F-D,S1-4F-S,S1-5F-D,S1-5F-S,S1-6F-D,S1-6F-S,S1-7F-D,S1-7F-S,S1-8F-D,S1-8F-S
1650,314.26,308.54,310.35,308.50,316.19,308.60,316.19,308.58,317.20,308.65,311.63,308.54,316.40,308.63,316.51,308.69
1651,314.26,308.54,310.35,308.50,316.20,308.60,316.20,308.58,317.21,308.65,311.64,308.54,316.40,308.63,316.52,308.69
1652,314.26,308.54,310.36,308.50,316.20,308.60,316.20,308.58,317.22,308.66,311.64,308.54,316.41,308.63,316.53,308.69
1653,314.27,308.55,310.36,308.50,316.21,308.61,316.21,308.59,317.22,308.66,311.65,308.55,316.42,308.64,316.53,308.70
1654,314.27,308.55,310.36,308.51,316.22,308.61,316.21,308.59,317.23,308.66,311.66,308.55,316.42,308.64,316.54,308.70
1655,314.28,308.55,310.37,308.51,316.22,308.61,316.22,308.59,317.24,308.67,311.66,308.55,316.43,308.64,316.54,308.70
1656,314.28,308.56,310.37,308.51,316.23,308.62,316.23,308.59,317.24,308.67,311.67,308.56,316.43,308.65,316.55,308.71
1657,314.29,308.56,310.38,308.52,316.23,308.62,316.23,308.60,317.25,308.67,311.67,308.56,316.44,308.65,316.56,308.71
1658,314.29,308.56,310.38,308.52,316.24,308.62,316.24,308.60,317.26,308.68,311.68,308.56,316.44,308.65,316.56,308.71
1659,314.30,308.57,310.39,308.52,316.24,308.63,316.24,308.60,317.26,308.68,311.68,308.57,316.45,308.66,316.57,308.72
1660,314.30,308.57,310.39,308.53,316.25,308.63,316.25,308.61,317.27,308.68,311.69,308.57,316.46,308.66,316.57,308.72
1661,314.31,308.57,310.39,308.53,316.26,308.63,316.25,308.61,317.28,308.69,311.69,308.57,316.46,308.66,316.58,308.72
1662,314.31,308.58,310.40,308.53,316.26,308.63,316.26,308.61,317.28,308.69,311.70,308.58,316.47,308.67,316.58,308.73
1663,314.31,308.58,310.40,308.54,316.27,308.64,316.26,308.62,317.29,308.69,311.71,308.58,316.47,308.67,316.59,308.73
1664,314.32,308.58,310.41,308.54,316.27,308.64,316.27,308.62,317.30,308.70,311.71,308.58,316.48,308.67,316.60,308.73
1665,314.32,308.59,310.41,308.54,316.28,308.64,316.28,308.62,317.30,308.70,311.72,308.59,316.48,308.68,316.60,308.74
1666,314.33,308.59,310.41,308.55,316.28,308.65,316.28,308.63,317.31,308.70,311.72,308.59,316.49,308.68,316.61,308.74
1667,314.33,308.59,310.42,308.55,316.29,308.65,316.29,308.63,317.32,308.71,311.73,308.59,316.50,308.68,316.61,308.74
1668,314.34,308.60,310.42,308.55,316.29,308.65,316.29,308.63,317.32,308.71,311.73,308.60,316.50,308.69,316.62,308.75
1669,314.34,308.60,310.43,308.56,316.30,308.66,316.30,308.64,317.33,308.71,311.74,308.60,316.51,308.69,316.63,308.75
1670,314.35,308.60,310.43,308.56,316.31,308.66,316.30,308.64,317.34,308.72,311.74,308.60,316.51,308.69,316.63,308.75
1671,314.35,308.61,310.43,308.56,316.31,308.66,316.31,308.64,317.34,308.72,311.75,308.61,316.52,308.70,316.64,308.76
1672,314.35,308.61,310.44,308.57,316.32,308.67,316.32,308.65,317.35,308.72,311.76,308.61,316.53,308.70,316.64,308.76
1673,314.36,308.61,310.44,308.57,316.32,308.67,316.32,308.65,317.36,308.73,311.76,308.61,316.53,308.70,316.65,308.76
1674,314.36,308.62,310.45,308.57,316.33,308.67,316.33,308.65,317.36,308.73,311.77,308.62,316.54,308.71,316.66,308.77
1675,314.37,308.62,310.45,308.57,316.33,308.68,316.33,308.65,317.37,308.73,311.77,308.62,316.54,308.71,316.66,308.77
1676,314.37,308.62,310.46,308.58,316.34,308.68,316.34,308.66,317.38,308.73,311.78,308.62,316.55,308.71,316.67,308.77
1677,314.38,308.62,310.46,308.58,316.35,308.68,316.34,308.66,317.38,308.74,311.78,308.63,316.55,308.72,316.67,308.78
1678,314.38,308.63,310.46,308.58,316.35,308.69,316.35,308.66,317.39,308.74,311.79,308.63,316.56,308.72,316.68,308.78
1679,314.39,308.63,310.47,308.59,316.36,308.69,316.36,308.67,317.40,308.74,311.79,308.63,316.57,308.72,316.68,308.78
1680,314.39,308.63,310.47,308.59,316.36,308.69,316.36,308.67,317.40,308.75,311.80,308.64,316.57,308.72,316.69,308.79
1681,314.39,308.64,310.48,308.59,316.37,308.70,316.37,308.67,317.41,308.75,311.80,308.64,316.58,308.73,316.70,308.79
1682,314.40,308.64,310.48,308.60,316.37,308.70,316.37,308.68,317.41,308.75,311.81,308.64,316.58,308.73,316.70,308.79
1683,314.40,308.64,310.48,308.60,316.38,308.70,316.38,308.68,317.42,308.76,311.82,308.64,316.59,308.73,316.71,308.80
1684,314.41,308.65,310.49,308.60,316.38,308.71,316.38,308.68,317.43,308.76,311.82,308.65,316.59,308.74,316.71,308.80
1685,314.41,308.65,310.49,308.61,316.39,308.71,316.39,308.69,317.43,308.76,311.83,308.65,316.60,308.74,316.72,308.80
1686,314.42,308.65,310.50,308.61,316.40,308.71,316.39,308.69,317.44,308.77,311.83,308.65,316.61,308.74,316.73,308.81
1687,314.42,308.66,310.50,308.61,316.40,308.72,316.40,308.69,317.45,308.77,311.84,308.66,316.61,308.75,316.73,308.81
1688,314.43,308.66,310.51,308.62,316.41,308.72,316.41,308.70,317.45,308.77,311.84,308.66,316.62,308.75,316.74,308.81
1689,314.43,308.66,310.51,308.62,316.41,308.72,316.41,308.70,317.46,308.78,311.85,308.66,316.62,308.75,316.74,308.82
1690,314.43,308.67,310.51,308.62,316.42,308.73,316.42,308.70,317.47,308.78,311.85,308.67,316.63,308.76,316.75,308.82
1691,314.44,308.67,310.52,308.63,316.42,308.73,316.42,308.71,317.47,308.78,311.86,308.67,316.63,308.76,316.75,308.82
1692,314.44,308.67,310.52,308.63,316.43,308.73,316.43,308.71,317.48,308.79,311.87,308.67,316.64,308.76,316.76,308.83
1693,314.45,308.68,310.53,308.63,316.44,308.74,316.43,308.71,317.49,308.79,311.87,308.68,316.65,308.77,316.77,308.83
1694,314.45,308.68,310.53,308.64,316.44,308.74,316.44,308.71,317.49,308.79,311.88,308.68,316.65,308.77,316.77,308.83
1695,314.46,308.68,310.53,308.64,316.45,308.74,316.45,308.72,317.50,308.80,311.88,308.68,316.66,308.77,316.78,308.84
1696,314.46,308.69,310.54,308.64,316.45,308.75,316.45,308.72,317.51,308.80,311.89,308.69,316.66,308.78,316.78,308.84
1697,314.47,308.69,310.54,308.64,316.46,308.75,316.46,308.72,317.51,308.80,311.89,308.69,316.67,308.78,316.79,308.84
1698,314.47,308.69,310.55,308.65,316.46,308.75,316.46,308.73,317.52,308.81,311.90,308.69,316.68,308.78,316.80,308.85
1699,314.47,308.70,310.55,308.65,316.47,308.75,316.47,308.73,317.53,308.81,311.90,308.70,316.68,308.79,316.80,308.85
1700,314.48,308.70,310.56,308.65,316.48,308.76,316.47,308.73,317.53,308.81,311.91,308.70,316.69,308.79,316.81,308.85
1701,314.48,308.70,310.56,308.66,316.48,308.76,316.48,308.74,317.54,308.82,311.92,308.70,316.69,308.79,316.81,308.86
1702,314.49,308.71,310.56,308.66,316.49,308.76,316.48,308.74,317.55,308.82,311.92,308.71,316.70,308.80,316.82,308.86
1703,314.49,308.71,310.57,308.66,316.49,308.77,316.49,308.74,317.55,308.82,311.93,308.71,316.70,308.80,316.83,308.86
1704,314.50,308.71,310.57,308.67,316.50,308.77,316.50,308.75,317.56,308.83,311.93,308.71,316.71,308.80,316.83,308.87
1705,314.50,308.71,310.58,308.67,316.50,308.77,316.50,308.75,317.57,308.83,311.94,308.72,316.72,308.81,316.84,308.87
1706,314.51,308.72,310.58,308.67,316.51,308.78,316.51,308.75,317.57,308.83,311.94,308.72,316.72,308.81,316.84,308.87
1707,314.51,308.72,310.58,308.68,316.51,308.78,316.51,308.76,317.58,308.84,311.95,308.72,316.73,308.81,316.85,308.88
1708,314.51,308.72,310.59,308.68,316.52,308.78,316.52,308.76,317.59,308.84,311.95,308.73,316.73,308.82,316.85,308.88
1709,314.52,308.73,310.59,308.68,316.53,308.79,316.52,308.76,317.59,308.84,311.96,308.73,316.74,308.82,316.86,308.88
1710,314.52,308.73,310.60,308.69,316.53,308.79,316.53,308.77,317.60,308.85,311.97,308.73,316.74,308.82,316.87,308.89
1711,314.53,308.73,310.60,308.69,316.54,308.79,316.54,308.77,317.61,308.85,311.97,308.74,316.75,308.83,316.87,308.89
1712,314.53,308.74,310.61,308.69,316.54,308.80,316.54,308.77,317.61,308.85,311.98,308.74,316.76,308.83,316.88,308.89
1713,314.54,308.74,310.61,308.70,316.55,308.80,316.55,308.77,317.62,308.86,311.98,308.74,316.76,308.83,316.88,308.90
1714,314.54,308.74,310.61,308.70,316.55,308.80,316.55,308.78,317.63,308.86,311.99,308.75,316.77,308.84,316.89,308.90
1715,314.55,308.75,310.62,308.70,316.56,308.81,316.56,308.78,317.63,308.86,311.99,308.75,316.77,308.84,316.90,308.90
1716,314.55,308.75,310.62,308.71,316.57,308.81,316.56,308.78,317.64,308.87,312.00,308.75,316.78,308.84,316.90,308.91
1717,314.55,308.75,310.63,308.71,316.57,308.81,316.57,308.79,317.65,308.87,312.00,308.76,316.79,308.85,316.91,308.91
1718,314.56,308.76,310.63,308.71,316.58,308.82,316.58,308.79,317.65,308.87,312.01,308.76,316.79,308.85,316.91,308.91
1719,314.56,308.76,310.63,308.71,316.58,308.82,316.58,308.79,317.66,308.88,312.02,308.76,316.80,308.85,316.92,308.92
1720,314.57,308.76,310.64,308.72,316.59,308.82,316.59,308.80,317.67,308.88,312.02,308.77,316.80,308.86,316.93,308.92
1721,314.57,308.77,310.64,308.72,316.59,308.83,316.59,308.80,317.67,308.88,312.03,308.77,316.81,308.86,316.93,308.92
1722,314.58,308.77,310.65,308.72,316.60,308.83,316.60,308.80,317.68,308.89,312.03,308.77,316.81,308.86,316.94,308.93
1723,314.58,308.77,310.65,308.73,316.60,308.83,316.60,308.81,317.69,308.89,312.04,308.78,316.82,308.87,316.94,308.93
1724,314.59,308.78,310.65,308.73,316.61,308.84,316.61,308.81,317.69,308.89,312.04,308.78,316.83,308.87,316.95,308.93
1725,314.59,308.78,310.66,308.73,316.62,308.84,316.61,308.81,317.70,308.90,312.05,308.78,316.83,308.87,316.95,308.94
1726,314.60,308.78,310.66,308.74,316.62,308.84,316.62,308.82,317.71,308.90,312.05,308.79,316.84,308.88,316.96,308.94
1727,314.60,308.79,310.67,308.74,316.63,308.85,316.63,308.82,317.71,308.90,312.06,308.79,316.84,308.88,316.97,308.94
1728,314.60,308.79,310.67,308.74,316.63,308.85,316.63,308.82,317.72,308.91,312.07,308.79,316.85,308.88,316.97,308.95
1729,314.61,308.79,310.68,308.75,316.64,308.85,316.64,308.83,317.73,308.91,312.07,308.80,316.85,308.89,316.98,308.95
1730,314.61,308.80,310.68,308.75,316.64,308.86,316.64,308.83,317.73,308.91,312.08,308.80,316.86,308.89,316.98,308.95
1731,314.62,308.80,310.68,308.75,316.65,308.86,316.65,308.83,317.74,308.92,312.08,308.80,316.87,308.89,316.99,308.96
1732,314.62,308.80,310.69,308.76,316.66,308.86,316.65,308.83,317.75,308.92,312.09,308.81,316.87,308.90,317.00,308.96
1733,314.63,308.81,310.69,308.76,316.66,308.87,316.66,308.84,317.75,308.92,312.09,308.81,316.88,308.90,317.00,308.96
1734,314.63,308.81,310.70,308.76,316.67,308.87,316.67,308.84,317.76,308.93,312.10,308.81,316.88,308.90,317.01,308.97
1735,314.64,308.81,310.70,308.77,316.67,308.87,316.67,308.84,317.77,308.93,312.10,308.82,316.89,308.91,317.01,308.97
1736,314.64,308.81,310.70,308.77,316.68,308.87,316.68,308.85,317.77,308.93,312.11,308.82,316.90,308.91,317.02,308.97
1737,314.64,308.82,310.71,308.77,316.68,308.88,316.68,308.85,317.78,308.94,312.12,308.82,316.90,308.91,317.02,308.98
1738,314.65,308.82,310.71,308.78,316.69,308.88,316.69,308.85,317.79,308.94,312.12,308.82,316.91,308.92,317.03,308.98
1739,314.65,308.82,310.72,308.78,316.70,308.88,316.69,308.86,317.79,308.94,312.13,308.83,316.91,308.92,317.04,308.98
1740,314.66,308.83,310.72,308.78,316.70,308.89,316.70,308.86,317.80,308.95,312.13,308.83,316.92,308.92,317.04,308.99
1741,314.66,308.83,310.73,308.78,316.71,308.89,316.70,308.86,317.81,308.95,312.14,308.83,316.92,308.93,317.05,308.99
1742,314.67,308.83,310.73,308.79,316.71,308.89,316.71,308.87,317.81,308.95,312.14,308.84,316.93,308.93,317.05,308.99
1743,314.67,308.84,310.73,308.79,316.72,308.90,316.72,308.87,317.82,308.96,312.15,308.84,316.94,308.93,317.06,309.00
1744,314.68,308.84,310.74,308.79,316.72,308.90,316.72,308.87,317.83,308.96,312.15,308.84,316.94,308.94,317.07,309.00
1745,314.68,308.84,310.74,308.80,316.73,308.90,316.73,308.88,317.83,308.96,312.16,308.85,316.95,308.94,317.07,309.00
1746,314.68,308.85,310.75,308.80,316.73,308.91,316.73,308.88,317.84,308.97,312.16,308.85,316.95,308.94,317.08,309.01
1747,314.69,308.85,310.75,308.80,316.74,308.91,316.74,308.88,317.85,308.97,312.17,308.85,316.96,308.95,317.08,309.01
1748,314.69,308.85,310.75,308.81,316.75,308.91,316.74,308.89,317.85,308.97,312.18,308.86,316.96,308.95,317.09,309.01
1749,314.70,308.86,310.76,308.81,316.75,308.92,316.75,308.89,317.86,308.98,312.18,308.86,316.97,308.95,317.10,309.01
1750,314.70,308.86,310.76,308.81,316.76,308.92,316.76,308.89,317.87,308.98,312.19,308.86,316.98,308.96,317.10,309.02
1751,314.71,308.86,310.77,308.82,316.76,308.92,316.76,308.90,317.87,308.98,312.19,308.87,316.98,308.96,317.11,309.02
1752,314.71,308.87,310.77,308.82,316.77,308.93,316.77,308.90,317.88,308.99,312.20,308.87,316.99,308.96,317.11,309.02
1753,314.72,308.87,310.78,308.82,316.77,308.93,316.77,308.90,317.89,308.99,312.20,308.87,316.99,308.97,317.12,309.03
1754,314.72,308.87,310.78,308.83,316.78,308.93,316.78,308.90,317.89,308.99,312.21,308.88,317.00,308.97,317.12,309.03
1755,314.72,308.88,310.78,308.83,316.79,308.94,316.78,308.91,317.90,309.00,312.21,308.88,317.00,308.97,317.13,309.03
1756,314.73,308.88,310.79,308.83,316.79,308.94,316.79,308.91,317.91,309.00,312.22,308.88,317.01,308.98,317.14,309.04
1757,314.73,308.88,310.79,308.84,316.80,308.94,316.80,308.91,317.91,309.00,312.23,308.89,317.02,308.98,317.14,309.04
1758,314.74,308.89,310.80,308.84,316.80,308.95,316.80,308.92,317.92,309.01,312.23,308.89,317.02,308.98,317.15,309.04
1759,314.74,308.89,310.80,308.84,316.81,308.95,316.81,308.92,317.93,309.01,312.24,308.89,317.03,308.98,317.15,309.05
1760,314.75,308.89,310.80,308.85,316.81,308.95,316.81,308.92,317.93,309.01,312.24,308.90,317.03,308.99,317.16,309.05
1761,314.75,308.90,310.81,308.85,316.82,308.96,316.82,308.93,317.94,309.02,312.25,308.90,317.04,308.99,317.17,309.05
1762,314.76,308.90,310.81,308.85,316.82,308.96,316.82,308.93,317.95,309.02,312.25,308.90,317.05,308.99,317.17,309.06
1763,314.76,308.90,310.82,308.85,316.83,308.96,316.83,308.93,317.95,309.02,312.26,308.91,317.05,309.00,317.18,309.06
1764,314.76,308.90,310.82,308.86,316.84,308.97,316.83,308.94,317.96,309.03,312.26,308.91,317.06,309.00,317.18,309.06
1765,314.77,308.91,310.83,308.86,316.84,308.97,316.84,308.94,317.97,309.03,312.27,308.91,317.06,309.00,317.19,309.07
1766,314.77,308.91,310.83,308.86,316.85,308.97,316.85,308.94,317.97,309.03,312.28,308.92,317.07,309.01,317.19,309.07
1767,314.78,308.91,310.83,308.87,316.85,308.98,316.85,308.95,317.98,309.04,312.28,308.92,317.07,309.01,317.20,309.07
1768,314.78,308.92,310.84,308.87,316.86,308.98,316.86,308.95,317.99,309.04,312.29,308.92,317.08,309.01,317.21,309.08
1769,314.79,308.92,310.84,308.87,316.86,308.98,316.86,308.95,317.99,309.04,312.29,308.93,317.09,309.02,317.21,309.08
1770,314.79,308.92,310.85,308.88,316.87,308.99,316.87,308.96,318.00,309.05,312.30,308.93,317.09,309.02,317.22,309.08
1771,314.80,308.93,310.85,308.88,316.88,308.99,316.87,308.96,318.01,309.05,312.30,308.93,317.10,309.02,317.22,309.09
1772,314.80,308.93,310.85,308.88,316.88,308.99,316.88,308.96,318.01,309.05,312.31,308.94,317.10,309.03,317.23,309.09
1773,314.80,308.93,310.86,308.89,316.89,308.99,316.89,308.96,318.02,309.06,312.31,308.94,317.11,309.03,317.24,309.09
1774,314.81,308.94,310.86,308.89,316.89,309.00,316.89,308.97,318.03,309.06,312.32,308.94,317.11,309.03,317.24,309.10
1775,314.81,308.94,310.87,308.89,316.90,309.00,316.90,308.97,318.03,309.06,312.33,308.95,317.12,309.04,317.25,309.10
1776,314.82,308.94,310.87,308.90,316.90,309.00,316.90,308.97,318.04,309.07,312.33,308.95,317.13,309.04,317.25,309.10
1777,314.82,308.95,310.87,308.90,316.91,309.01,316.91,308.98,318.05,309.07,312.34,308.95,317.13,309.04,317.26,309.11
1778,314.83,308.95,310.88,308.90,316.92,309.01,316.91,308.98,318.05,309.07,312.34,308.96,317.14,309.05,317.27,309.11
1779,314.83,308.95,310.88,308.91,316.92,309.01,316.92,308.98,318.06,309.08,312.35,308.96,317.14,309.05,317.27,309.11
1780,314.84,308.96,310.89,308.91,316.93,309.02,316.92,308.99,318.07,309.08,312.35,308.96,317.15,309.05,317.28,309.12
1781,314.84,308.96,310.89,308.91,316.93,309.02,316.93,308.99,318.07,309.08,312.36,308.97,317.16,309.06,317.28,309.12
1782,314.85,308.96,310.90,308.92,316.94,309.02,316.94,308.99,318.08,309.09,312.36,308.97,317.16,309.06,317.29,309.12
1783,314.85,308.97,310.90,308.92,316.94,309.03,316.94,309.00,318.09,309.09,312.37,308.97,317.17,309.06,317.29,309.13
1784,314.85,308.97,310.90,308.92,316.95,309.03,316.95,309.00,318.09,309.09,312.38,308.98,317.17,309.07,317.30,309.13
1785,314.86,308.97,310.91,308.92,316.95,309.03,316.95,309.00,318.10,309.10,312.38,308.98,317.18,309.07,317.31,309.13
1786,314.86,308.98,310.91,308.93,316.96,309.04,316.96,309.01,318.11,309.10,312.39,308.98,317.18,309.07,317.31,309.14
1787,314.87,308.98,310.92,308.93,316.97,309.04,316.96,309.01,318.11,309.10,312.39,308.99,317.19,309.08,317.32,309.14
1788,314.87,308.98,310.92,308.93,316.97,309.04,316.97,309.01,318.12,309.11,312.40,308.99,317.20,309.08,317.32,309.14
1789,314.88,308.99,310.92,308.94,316.98,309.05,316.98,309.02,318.13,309.11,312.40,308.99,317.20,309.08,317.33,309.15
1790,314.88,308.99,310.93,308.94,316.98,309.05,316.98,309.02,318.13,309.11,312.41,309.00,317.21,309.09,317.34,309.15
1791,314.89,308.99,310.93,308.94,316.99,309.05,316.99,309.02,318.14,309.12,312.41,309.00,317.21,309.09,317.34,309.15
1792,314.89,309.00,310.94,308.95,316.99,309.06,316.99,309.02,318.15,309.12,312.42,309.00,317.22,309.09,317.35,309.16
1793,314.89,309.00,310.94,308.95,317.00,309.06,317.00,309.03,318.15,309.12,312.43,309.00,317.22,309.10,317.35,309.16
1794,314.90,309.00,310.95,308.95,317.01,309.06,317.00,309.03,318.16,309.13,312.43,309.01,317.23,309.10,317.36,309.16
1795,314.90,309.00,310.95,308.96,317.01,309.07,317.01,309.03,318.16,309.13,312.44,309.01,317.24,309.10,317.36,309.17
1796,314.91,309.01,310.95,308.96,317.02,309.07,317.01,309.04,318.17,309.13,312.44,309.01,317.24,309.11,317.37,309.17
1797,314.91,309.01,310.96,308.96,317.02,309.07,317.02,309.04,318.18,309.14,312.45,309.02,317.25,309.11,317.38,309.17
1798,314.92,309.01,310.96,308.97,317.03,309.08,317.03,309.04,318.18,309.14,312.45,309.02,317.25,309.11,317.38,309.18
1799,314.92,309.02,310.97,308.97,317.03,309.08,317.03,309.05,318.19,309.14,312.46,309.02,317.26,309.12,317.39,309.18
1800,314.93,309.02,310.97,308.97,317.04,309.08,317.04,309.05,318.20,309.15,312.46,309.03,317.26,309.12,317.39,309.18
1801,314.93,309.02,310.97,308.98,317.04,309.09,317.04,309.05,318.20,309.15,312.47,309.03,317.27,309.12,317.40,309.19
1802,314.93,309.03,310.98,308.98,317.05,309.09,317.05,309.06,318.21,309.15,312.48,309.03,317.28,309.13,317.41,309.19
1803,314.94,309.03,310.98,308.98,317.06,309.09,317.05,309.06,318.22,309.16,312.48,309.04,317.28,309.13,317.41,309.19
1804,314.94,309.03,310.99,308.99,317.06,309.10,317.06,309.06,318.22,309.16,312.49,309.04,317.29,309.13,317.42,309.20
1805,314.95,309.04,310.99,308.99,317.07,309.10,317.07,309.07,318.23,309.16,312.49,309.04,317.29,309.14,317.42,309.20
1806,314.95,309.04,311.00,308.99,317.07,309.10,317.07,309.07,318.24,309.17,312.50,309.05,317.30,309.14,317.43,309.20
1807,314.96,309.04,311.00,308.99,317.08,309.10,317.08,309.07,318.24,309.17,312.50,309.05,317.31,309.14,317.44,309.21
1808,314.96,309.05,311.00,309.00,317.08,309.11,317.08,309.08,318.25,309.17,312.51,309.05,317.31,309.15,317.44,309.21
1809,314.97,309.05,311.01,309.00,317.09,309.11,317.09,309.08,318.26,309.18,312.51,309.06,317.32,309.15,317.45,309.21
1810,314.97,309.05,311.01,309.00,317.10,309.11,317.09,309.08,318.26,309.18,312.52,309.06,317.32,309.15,317.45,309.22
1811,314.97,309.06,311.02,309.01,317.10,309.12,317.10,309.08,318.27,309.18,312.53,309.06,317.33,309.16,317.46,309.22
1812,314.98,309.06,311.02,309.01,317.11,309.12,317.11,309.09,318.28,309.19,312.53,309.07,317.33,309.16,317.46,309.22
1813,314.98,309.06,311.02,309.01,317.11,309.12,317.11,309.09,318.28,309.19,312.54,309.07,317.34,309.16,317.47,309.23
1814,314.99,309.07,311.03,309.02,317.12,309.13,317.12,309.09,318.29,309.19,312.54,309.07,317.35,309.17,317.48,309.23
1815,314.99,309.07,311.03,309.02,317.12,309.13,317.12,309.10,318.30,309.20,312.55,309.08,317.35,309.17,317.48,309.23
1816,315.00,309.07,311.04,309.02,317.13,309.13,317.13,309.10,318.30,309.20,312.55,309.08,317.36,309.17,317.49,309.24
1817,315.00,309.08,311.04,309.03,317.14,309.14,317.13,309.10,318.31,309.20,312.56,309.08,317.36,309.18,317.49,309.24
1818,315.01,309.08,311.05,309.03,317.14,309.14,317.14,309.11,318.32,309.21,312.56,309.09,317.37,309.18,317.50,309.24
1819,315.01,309.08,311.05,309.03,317.15,309.14,317.14,309.11,318.32,309.21,312.57,309.09,317.37,309.18,317.51,309.25
1820,315.01,309.09,311.05,309.04,317.15,309.15,317.15,309.11,318.33,309.21,312.57,309.09,317.38,309.19,317.51,309.25
1821,315.02,309.09,311.06,309.04,317.16,309.15,317.16,309.12,318.34,309.22,312.58,309.10,317.39,309.19,317.52,309.25
1822,315.02,309.09,311.06,309.04,317.16,309.15,317.16,309.12,318.34,309.22,312.59,309.10,317.39,309.19,317.52,309.26
1823,315.03,309.09,311.07,309.05,317.17,309.16,317.17,309.12,318.35,309.22,312.59,309.10,317.40,309.20,317.53,309.26
1824,315.03,309.10,311.07,309.05,317.17,309.16,317.17,309.13,318.36,309.22,312.60,309.11,317.40,309.20,317.53,309.26
1825,315.04,309.10,311.07,309.05,317.18,309.16,317.18,309.13,318.36,309.23,312.60,309.11,317.41,309.20,317.54,309.27
1826,315.04,309.10,311.08,309.06,317.19,309.17,317.18,309.13,318.37,309.23,312.61,309.11,317.42,309.21,317.55,309.27
1827,315.05,309.11,311.08,309.06,317.19,309.17,317.19,309.14,318.38,309.23,312.61,309.12,317.42,309.21,317.55,309.27
1828,315.05,309.11,311.09,309.06,317.20,309.17,317.20,309.14,318.38,309.24,312.62,309.12,317.43,309.21,317.56,309.28
1829,315.05,309.11,311.09,309.06,317.20,309.18,317.20,309.14,318.39,309.24,312.62,309.12,317.43,309.22,317.56,309.28
1830,315.06,309.12,311.09,309.07,317.21,309.18,317.21,309.14,318.40,309.24,312.63,309.13,317.44,309.22,317.57,309.28
1831,315.06,309.12,311.10,309.07,317.21,309.18,317.21,309.15,318.40,309.25,312.64,309.13,317.44,309.22,317.58,309.29
1832,315.07,309.12,311.10,309.07,317.22,309.19,317.22,309.15,318.41,309.25,312.64,309.13,317.45,309.23,317.58,309.29
1833,315.07,309.13,311.11,309.08,317.23,309.19,317.22,309.15,318.42,309.25,312.65,309.14,317.46,309.23,317.59,309.29
1834,315.08,309.13,311.11,309.08,317.23,309.19,317.23,309.16,318.42,309.26,312.65,309.14,317.46,309.23,317.59,309.30
1835,315.08,309.13,311.12,309.08,317.24,309.20,317.23,309.16,318.43,309.26,312.66,309.14,317.47,309.23,317.60,309.30
1836,315.09,309.14,311.12,309.09,317.24,309.20,317.24,309.16,318.44,309.26,312.66,309.15,317.47,309.24,317.61,309.30
1837,315.09,309.14,311.12,309.09,317.25,309.20,317.25,309.17,318.44,309.27,312.67,309.15,317.48,309.24,317.61,309.31
1838,315.10,309.14,311.13,309.09,317.25,309.21,317.25,309.17,318.45,309.27,312.67,309.15,317.48,309.24,317.62,309.31
1839,315.10,309.15,311.13,309.10,317.26,309.21,317.26,309.17,318.46,309.27,312.68,309.16,317.49,309.25,317.62,309.31
1840,315.10,309.15,311.14,309.10,317.26,309.21,317.26,309.18,318.46,309.28,312.69,309.16,317.50,309.25,317.63,309.32
1841,315.11,309.15,311.14,309.10,317.27,309.22,317.27,309.18,318.47,309.28,312.69,309.16,317.50,309.25,317.63,309.32
1842,315.11,309.16,311.14,309.11,317.28,309.22,317.27,309.18,318.48,309.28,312.70,309.17,317.51,309.26,317.64,309.32
1843,315.12,309.16,311.15,309.11,317.28,309.22,317.28,309.19,318.48,309.29,312.70,309.17,317.51,309.26,317.65,309.33
1844,315.12,309.16,311.15,309.11,317.29,309.22,317.29,309.19,318.49,309.29,312.71,309.17,317.52,309.26,317.65,309.33
1845,315.13,309.17,311.16,309.12,317.29,309.23,317.29,309.19,318.50,309.29,312.71,309.18,317.52,309.27,317.66,309.33
1846,315.13,309.17,311.16,309.12,317.30,309.23,317.30,309.20,318.50,309.30,312.72,309.18,317.53,309.27,317.66,309.34
1847,315.14,309.17,311.17,309.12,317.30,309.23,317.30,309.20,318.51,309.30,312.72,309.18,317.54,309.27,317.67,309.34
1848,315.14,309.18,311.17,309.13,317.31,309.24,317.31,309.20,318.52,309.30,312.73,309.18,317.54,309.28,317.68,309.34
1849,315.14,309.18,311.17,309.13,317.32,309.24,317.31,309.20,318.52,309.31,312.74,309.19,317.55,309.28,317.68,309.35
1850,315.15,309.18,311.18,309.13,317.32,309.24,317.32,309.21,318.53,309.31,312.74,309.19,317.55,309.28,317.69,309.35
1851,315.15,309.19,311.18,309.13,317.33,309.25,317.33,309.21,318.54,309.31,312.75,309.19,317.56,309.29,317.69,309.35
1852,315.16,309.19,311.19,309.14,317.33,309.25,317.33,309.21,318.54,309.32,312.75,309.20,317.57,309.29,317.70,309.36
1853,315.16,309.19,311.19,309.14,317.34,309.25,317.34,309.22,318.55,309.32,312.76,309.20,317.57,309.29,317.70,309.36
1854,315.17,309.19,311.19,309.14,317.34,309.26,317.34,309.22,318.56,309.32,312.76,309.20,317.58,309.30,317.71,309.36
1855,315.17,309.20,311.20,309.15,317.35,309.26,317.35,309.22,318.56,309.33,312.77,309.21,317.58,309.30,317.72,309.37
